pc_received_time,device,timestamp,epoch,time_label,elapsed_s,temp_c,rh_percent,co2_ppm,pressure_hpa,vpd_kpa,air_velocity_ms,par_raw,par_umol_m2_s,fan_speed_percent,fan_rpm,fan_dac_v
2026-06-06 00:01:19,DREAM_BotFan_1,2026-06-06 00:01:18,1780704078,2026-06-06 00:01:18,18506.6,22.74,52.16,424.0,NAN,1.323,NAN,NAN,NAN,80.0,5200.2,8.0
2026-06-06 00:01:19,DREAM_Sensors_1,2026-06-06 00:01:19,1780704079,00:01:19,27569.4,21.76,56.58,433.0,1014.49,1.131,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:01:24,DREAM_BotFan_1,2026-06-06 00:01:23,1780704083,2026-06-06 00:01:23,18511.6,22.75,52.13,424.0,NAN,1.325,NAN,NAN,NAN,80.0,5200.2,8.0
2026-06-06 00:01:24,DREAM_Sensors_1,2026-06-06 00:01:24,1780704084,00:01:24,27574.4,21.75,56.59,434.0,1014.48,1.130,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:01:29,DREAM_BotFan_1,2026-06-06 00:01:28,1780704088,2026-06-06 00:01:28,18516.6,22.75,52.16,425.0,NAN,1.324,NAN,NAN,NAN,80.0,5461.5,8.0
2026-06-06 00:01:29,DREAM_Sensors_1,2026-06-06 00:01:29,1780704089,00:01:29,27579.4,21.74,56.62,436.0,1014.48,1.129,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:01:34,DREAM_BotFan_1,2026-06-06 00:01:33,1780704093,2026-06-06 00:01:33,18521.6,22.77,52.18,426.0,NAN,1.325,NAN,NAN,NAN,80.0,5285.4,8.0
2026-06-06 00:01:34,DREAM_Sensors_1,2026-06-06 00:01:34,1780704094,00:01:34,27584.4,21.73,56.64,434.0,1014.49,1.127,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:01:39,DREAM_BotFan_1,2026-06-06 00:01:38,1780704098,2026-06-06 00:01:38,18526.6,22.76,52.13,426.0,NAN,1.325,NAN,NAN,NAN,80.0,5461.5,8.0
2026-06-06 00:01:39,DREAM_Sensors_1,2026-06-06 00:01:39,1780704099,00:01:39,27589.4,21.72,56.68,433.0,1014.49,1.126,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:01:44,DREAM_Sensors_1,2026-06-06 00:01:44,1780704104,00:01:44,27594.4,21.71,56.70,433.0,1014.5,1.124,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:01:45,DREAM_BotFan_1,2026-06-06 00:01:44,1780704104,2026-06-06 00:01:44,18532.6,22.75,52.16,428.0,NAN,1.324,NAN,NAN,NAN,80.0,5120.3,8.0
2026-06-06 00:01:49,DREAM_Sensors_1,2026-06-06 00:01:49,1780704109,00:01:49,27599.4,21.69,56.74,432.0,1014.51,1.123,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:01:50,DREAM_BotFan_1,2026-06-06 00:01:49,1780704109,2026-06-06 00:01:49,18537.6,22.76,52.19,433.0,NAN,1.324,NAN,NAN,NAN,80.0,5285.4,8.0
2026-06-06 00:01:54,DREAM_Sensors_1,2026-06-06 00:01:54,1780704114,00:01:54,27604.4,21.69,56.77,433.0,1014.51,1.121,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:01:55,DREAM_BotFan_1,2026-06-06 00:01:54,1780704114,2026-06-06 00:01:54,18542.6,22.77,52.15,432.0,NAN,1.326,NAN,NAN,NAN,80.0,5373.5,8.0
2026-06-06 00:01:59,DREAM_Sensors_1,2026-06-06 00:01:59,1780704119,00:01:59,27609.4,21.69,56.77,433.0,1014.5,1.122,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:02:00,DREAM_BotFan_1,2026-06-06 00:01:59,1780704119,2026-06-06 00:01:59,18547.6,22.76,52.17,437.0,NAN,1.325,NAN,NAN,NAN,80.0,5285.4,8.0
2026-06-06 00:02:04,DREAM_Sensors_1,2026-06-06 00:02:04,1780704124,00:02:04,27614.4,21.70,56.74,433.0,1014.5,1.123,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:02:05,DREAM_BotFan_1,2026-06-06 00:02:04,1780704124,2026-06-06 00:02:04,18552.6,22.77,52.18,437.0,NAN,1.325,NAN,NAN,NAN,80.0,5285.4,8.0
2026-06-06 00:02:09,DREAM_Sensors_1,2026-06-06 00:02:09,1780704129,00:02:09,27619.4,21.72,56.69,435.0,1014.51,1.126,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:02:10,DREAM_BotFan_1,2026-06-06 00:02:09,1780704129,2026-06-06 00:02:09,18557.6,22.78,52.16,437.0,NAN,1.326,NAN,NAN,NAN,80.0,5200.2,8.0
2026-06-06 00:02:14,DREAM_Sensors_1,2026-06-06 00:02:14,1780704134,00:02:14,27624.4,21.73,56.65,437.0,1014.5,1.128,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:02:15,DREAM_BotFan_1,2026-06-06 00:02:14,1780704134,2026-06-06 00:02:14,18562.6,22.75,52.11,442.0,NAN,1.326,NAN,NAN,NAN,80.0,5200.2,8.0
2026-06-06 00:02:20,DREAM_Sensors_1,2026-06-06 00:02:19,1780704139,00:02:19,27629.4,21.75,56.61,438.0,1014.5,1.130,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:02:20,DREAM_BotFan_1,2026-06-06 00:02:19,1780704139,2026-06-06 00:02:19,18567.6,22.77,52.15,441.0,NAN,1.325,NAN,NAN,NAN,80.0,5285.4,8.0
