pc_received_time,device,timestamp,epoch,time_label,elapsed_s,temp_c,rh_percent,co2_ppm,pressure_hpa,vpd_kpa,air_velocity_ms,par_raw,par_umol_m2_s,fan_speed_percent,fan_rpm,fan_dac_v
2026-05-16 18:11:34,DREAM_Sensors_3,2026-05-16 18:11:32,1778955092,18:11:32,14456.6,20.83,65.29,479.0,,0.854,0.058,,,,,
2026-05-16 18:11:34,DREAM_Sensors_4,2026-05-16 18:11:30,1778955090,18:11:30,14462.8,17.9,,,1008.82,,1.172,0.0,14.9,,,
2026-05-16 18:11:35,DREAM_BotFan_1,2026-05-16 18:11:33,1778955093,2026-05-16 18:11:33,14496.5,14.874104,93.40962,548.0,,0.11148072,,,,91.0,5955.9,9.1
2026-05-16 18:11:35,DREAM_Sensors_1,2026-05-16 18:11:31,1778955091,18:11:31,14450.6,18.51,76.25,578.0,1008.68,0.506,0.015,,,,,
2026-05-16 18:11:36,DREAM_Sensors_2,2026-05-16 18:11:33,1778955093,18:11:33,14460.3,21.53,30.98,435.0,1008.14,1.774,,,,,,
2026-05-16 18:11:36,DREAM_Sensors_4,2026-05-16 18:11:35,1778955095,18:11:35,14467.5,17.9,,,1008.84,,1.422,0.0,14.9,,,
2026-05-16 18:11:37,DREAM_Sensors_4,2026-05-16 18:11:36,1778955096,18:11:36,14468.8,17.91,,,1008.8,,1.095,0.0,14.9,,,
2026-05-16 18:11:38,DREAM_Sensors_3,2026-05-16 18:11:37,1778955097,18:11:37,14461.6,20.86,65.26,478.0,,0.857,0.053,,,,,
2026-05-16 18:11:38,DREAM_Sensors_2,2026-05-16 18:11:38,1778955098,18:11:38,14465.3,21.53,31.04,433.0,1008.15,1.772,,,,,,
2026-05-16 18:11:38,DREAM_BotFan_1,2026-05-16 18:11:38,1778955098,2026-05-16 18:11:38,14501.5,14.83673,93.40046,549.0,,0.11136808,,,,91.0,5955.9,9.1
2026-05-16 18:11:39,DREAM_Sensors_4,2026-05-16 18:11:38,1778955098,18:11:38,14470.2,17.9,,,1008.79,,1.068,0.0,14.9,,,
2026-05-16 18:11:40,DREAM_Sensors_4,2026-05-16 18:11:39,1778955099,18:11:39,14471.6,17.9,,,1008.84,,1.42,0.0,14.9,,,
2026-05-16 18:11:40,DREAM_Sensors_1,2026-05-16 18:11:36,1778955096,18:11:36,14455.6,18.5,76.24,575.0,1008.68,0.506,0.088,,,,,
2026-05-16 18:11:41,DREAM_Sensors_4,2026-05-16 18:11:40,1778955100,18:11:40,14472.9,17.9,,,1008.82,,1.137,0.0,14.9,,,
2026-05-16 18:11:42,DREAM_Sensors_1,2026-05-16 18:11:41,1778955101,18:11:41,14460.6,18.5,76.25,575.0,1008.68,0.506,0.05,,,,,
2026-05-16 18:11:43,DREAM_Sensors_4,2026-05-16 18:11:42,1778955102,18:11:42,14474.2,17.91,,,1008.81,,1.42,0.0,14.9,,,
2026-05-16 18:11:43,DREAM_Sensors_3,2026-05-16 18:11:42,1778955102,18:11:42,14466.6,20.86,65.26,478.0,,0.857,0.071,,,,,
2026-05-16 18:11:43,DREAM_Sensors_2,2026-05-16 18:11:43,1778955103,18:11:43,14470.3,21.53,30.98,432.0,1008.15,1.773,,,,,,
2026-05-16 18:11:43,DREAM_BotFan_1,2026-05-16 18:11:43,1778955103,2026-05-16 18:11:43,14506.5,14.879452,93.37756,552.0,,0.11206248,,,,91.0,5851.4,9.1
2026-05-16 18:11:44,DREAM_Sensors_4,2026-05-16 18:11:43,1778955103,18:11:43,14475.7,17.9,,,1008.81,,1.38,0.0,14.9,,,
2026-05-16 18:11:46,DREAM_Sensors_4,2026-05-16 18:11:44,1778955104,18:11:44,14477.0,17.9,,,1008.81,,1.389,0.0,14.9,,,
2026-05-16 18:11:47,DREAM_Sensors_4,2026-05-16 18:11:46,1778955106,18:11:46,14478.3,17.91,,,1008.88,,1.473,0.0,14.9,,,
2026-05-16 18:11:47,DREAM_Sensors_1,2026-05-16 18:11:46,1778955106,18:11:46,14465.6,18.5,76.24,574.0,1008.67,0.506,0.015,,,,,
2026-05-16 18:11:48,DREAM_Sensors_3,2026-05-16 18:11:47,1778955107,18:11:47,14471.6,20.85,65.27,479.0,,0.856,0.068,,,,,
2026-05-16 18:11:48,DREAM_Sensors_2,2026-05-16 18:11:48,1778955108,18:11:48,14475.3,21.52,30.97,432.0,1008.14,1.772,,,,,,
2026-05-16 18:11:48,DREAM_Sensors_4,2026-05-16 18:11:47,1778955107,18:11:47,14479.7,17.9,,,1008.83,,1.367,0.0,14.9,,,
2026-05-16 18:11:48,DREAM_BotFan_1,2026-05-16 18:11:48,1778955108,2026-05-16 18:11:48,14511.5,14.85541,93.3669,547.0,,0.11206878,,,,91.0,5955.9,9.1
2026-05-16 18:11:50,DREAM_Sensors_4,2026-05-16 18:11:48,1778955108,18:11:48,14481.0,17.91,,,1008.82,,1.479,0.0,14.9,,,
2026-05-16 18:11:51,DREAM_Sensors_4,2026-05-16 18:11:50,1778955110,18:11:50,14482.4,17.92,,,1008.88,,1.448,0.0,14.9,,,
2026-05-16 18:11:52,DREAM_Sensors_1,2026-05-16 18:11:51,1778955111,18:11:51,14470.6,18.5,76.23,572.0,1008.67,0.506,0.0,,,,,
2026-05-16 18:11:52,DREAM_Sensors_4,2026-05-16 18:11:51,1778955111,18:11:51,14483.8,17.9,,,1008.86,,1.446,0.0,14.9,,,
2026-05-16 18:11:53,DREAM_Sensors_2,2026-05-16 18:11:53,1778955113,18:11:53,14480.3,21.51,31.04,433.0,1008.14,1.77,,,,,,
2026-05-16 18:11:53,DREAM_Sensors_3,2026-05-16 18:11:52,1778955112,18:11:52,14476.6,20.84,65.23,478.0,,0.856,0.015,,,,,
2026-05-16 18:11:53,DREAM_BotFan_1,2026-05-16 18:11:53,1778955113,2026-05-16 18:11:53,14516.5,14.86609,93.36384,551.0,,0.1121979,,,,91.0,5851.4,9.1
2026-05-16 18:11:54,DREAM_Sensors_4,2026-05-16 18:11:53,1778955113,18:11:53,14485.3,17.9,,,1008.82,,1.364,0.0,14.9,,,
2026-05-16 18:11:55,DREAM_Sensors_4,2026-05-16 18:11:54,1778955114,18:11:54,14486.7,17.9,,,1008.82,,1.271,0.0,14.9,,,
2026-05-16 18:11:57,DREAM_Sensors_4,2026-05-16 18:11:55,1778955115,18:11:55,14488.0,17.9,,,1008.82,,1.674,0.0,14.9,,,
2026-05-16 18:11:57,DREAM_Sensors_1,2026-05-16 18:11:56,1778955116,18:11:56,14475.6,18.5,76.22,575.0,1008.67,0.506,0.06,,,,,
2026-05-16 18:11:58,DREAM_Sensors_3,2026-05-16 18:11:57,1778955117,18:11:57,14481.6,20.83,65.28,479.0,,0.854,0.098,,,,,
