timestamp,elapsed_s,li850_co2_ppm,co2_avg_ppm,target_co2_ppm,co2_error_ppm,li850_h2o_mmol_mol,li850_cellpres_kpa,li850_celltemp_c,li850_flowrate,chamber_air_temp_c,chamber_air_mol,dCdt_ppm_s,supply_ppm_s,storage_umol_s,mfc_setpoint_mln_min,mfc_actual_mln_min,co2_supplied_umol_s,co2_supplied_umol_step,co2_supplied_mmol_total,A_canopy_1_umol_mol_s,A_canopy_2_umol_s,A_canopy_area_umol_m2_s,control_note
2026-05-06 11:22:50,0.1,437.309,437.309,450.000,12.691,14.321000,100.690000,51.506800,0.716685,18.000000,96.915063,,,,25.382000,0.000000,0.000000,0.000000,0.000000,,,,CO2 below target; MFC adding CO2
2026-05-06 11:23:00,10.1,438.082,437.320,450.000,12.680,14.317300,100.690000,51.510200,0.713087,18.000000,96.915063,0.04326623,0.19459432,4.193149,25.360727,25.362500,18.859121,18.636405,0.187424,0.15132809,14.665972,,CO2 below target; MFC adding CO2
2026-05-06 11:23:10,20.1,438.258,437.719,450.000,12.281,14.314200,100.687000,51.510200,0.717903,18.000000,96.912175,0.05588357,0.26849829,5.415798,24.561900,34.993750,26.020753,24.862910,0.381957,0.21261472,20.604955,,CO2 below target; MFC adding CO2
2026-05-06 11:23:21,31.1,440.286,438.979,450.000,11.021,14.321700,100.687000,51.506800,0.722508,18.000000,96.912175,0.10640693,0.18846192,10.312127,22.042500,24.562500,18.264254,18.408063,0.581211,0.08205499,7.952128,,CO2 below target; MFC adding CO2
2026-05-06 11:23:32,42.1,441.878,440.652,450.000,9.348,14.323800,100.689000,51.506900,0.716614,18.000000,96.914100,0.12405603,0.16913282,12.022779,18.695600,22.043750,16.391355,16.521241,0.761953,0.04507679,4.368576,,CO2 below target; MFC adding CO2
2026-05-06 11:23:43,53.1,443.696,442.293,450.000,7.707,14.320000,100.690000,51.496900,0.718856,18.000000,96.915063,0.13347951,0.14246913,12.936175,15.413500,18.568750,13.807405,13.886454,0.917107,0.00898962,0.871229,,CO2 below target; MFC adding CO2
2026-05-06 11:23:54,64.1,444.773,443.612,450.000,6.388,14.315700,100.687000,51.506800,0.715957,18.000000,96.912175,0.13303476,0.11825626,12.892688,12.775600,15.412500,11.460471,11.352786,1.042947,-0.01477850,-1.432217,,CO2 below target; MFC adding CO2
2026-05-06 11:24:04,74.1,444.800,444.500,450.000,5.500,14.305400,100.691000,51.501900,0.715800,18.000000,96.916026,0.12830471,0.09801549,12.434782,10.999600,12.775000,9.499271,9.569797,1.138459,-0.03028922,-2.935511,,CO2 below target; MFC adding CO2
2026-05-06 11:24:15,85.1,445.967,445.294,450.000,4.706,14.315900,100.691000,51.503500,0.722188,18.000000,96.916026,0.10450113,0.08449280,10.127834,9.411400,11.012500,8.188706,8.246724,1.229134,-0.02000833,-1.939127,,CO2 below target; MFC adding CO2
2026-05-06 11:24:26,96.1,446.027,446.032,450.000,3.968,14.319500,100.691000,51.508500,0.718454,18.000000,96.916026,0.08418184,0.07216894,8.158570,7.935200,9.406250,6.994326,7.043688,1.306834,-0.01201291,-1.164243,,CO2 below target; MFC adding CO2
2026-05-06 11:24:37,107.1,446.843,446.477,450.000,3.523,14.321900,100.690000,51.510200,0.717088,18.000000,96.915063,0.06289392,0.06099654,6.095369,7.046600,7.950000,5.911484,5.945421,1.372421,-0.00189738,-0.183885,,CO2 below target; MFC adding CO2
2026-05-06 11:24:48,118.1,446.793,446.656,450.000,3.344,14.319600,100.690000,51.510200,0.723121,18.000000,96.915063,0.04521684,0.05380356,4.382193,6.688100,7.012500,5.214375,5.247200,1.433115,0.00858671,0.832182,,CO2 below target; MFC adding CO2
2026-05-06 11:24:59,129.1,446.775,446.820,450.000,3.180,14.316900,100.690000,51.503500,0.718852,18.000000,96.915063,0.03210498,0.05121408,3.111456,6.360700,6.675000,4.963416,4.998349,1.487917,0.01910910,1.851960,,CO2 below target; MFC adding CO2
2026-05-06 11:25:10,140.1,446.764,446.961,450.000,3.039,14.317200,100.692000,51.505200,0.715658,18.000000,96.916988,0.01760107,0.04881545,1.705843,6.077100,6.362500,4.731046,4.762064,1.540111,0.03121438,3.025203,,CO2 below target; MFC adding CO2
2026-05-06 11:25:21,151.1,447.267,447.050,450.000,2.950,14.318800,100.690000,51.506800,0.720604,18.000000,96.915063,0.01264510,0.04656261,1.225501,5.899400,6.068750,4.512619,4.544382,1.589937,0.03391751,3.287118,,CO2 below target; MFC adding CO2
2026-05-06 11:25:32,162.1,447.392,447.253,450.000,2.747,14.318100,100.691000,51.508500,0.715436,18.000000,96.916026,0.01206986,0.04521947,1.169762,5.494300,5.893750,4.382492,4.427750,1.638258,0.03314962,3.212729,,CO2 below target; MFC adding CO2
2026-05-06 11:25:43,173.1,447.535,447.342,450.000,2.658,14.319600,100.691000,51.508500,0.719105,18.000000,96.916026,0.01157380,0.04219845,1.121687,5.316500,5.500000,4.089706,4.116054,1.683369,0.03062465,2.968019,,CO2 below target; MFC adding CO2
2026-05-06 11:25:54,184.1,447.340,447.320,450.000,2.680,14.316000,100.691000,51.510200,0.719650,18.000000,96.916026,0.00857780,0.04579491,0.831326,5.359900,5.968750,4.438260,4.520818,1.736699,0.03721711,3.606934,,CO2 below target; MFC adding CO2
2026-05-06 11:26:05,195.1,446.987,447.219,450.000,2.781,14.313000,100.691000,51.503500,0.715011,18.000000,96.916026,0.00377778,0.04104758,0.366128,5.561200,5.350000,3.978168,4.018434,1.771860,0.03726980,3.612041,,CO2 below target; MFC adding CO2
2026-05-06 11:26:16,206.1,447.692,447.277,450.000,2.723,14.318100,100.689000,51.500200,0.715466,18.000000,96.914100,0.00017497,0.04267882,0.016957,5.446200,5.562500,4.136180,4.170078,1.817240,0.04250386,4.119223,,CO2 below target; MFC adding CO2
